严重度,类型,文件,行号,命中,原文
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,68,PT5,- Page 6: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_006.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,69,PT5,- Page 7: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_007.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,70,PT5,- Page 8: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_008.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,71,PT5,- Page 9: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_009.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,72,PT5,- Page 10: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_010.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,73,PT5,- Page 11: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_011.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.md,74,PT5,- Page 12: [png](PT5-生物相容性-皮肤刺激2-SDWH-M201905262-5.assets/pages_png/page_012.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,3,PT5,source_file: PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,4,PT5,source_relative_path: 02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,6,PT5,assets_dir: PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,15,PT5,# PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,19,PT5,- source: `02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.pdf`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,20,PT5,- assets: `PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,32,PT5,- [page_manifest.csv](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/page_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,33,PT5,- [pages_text](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_text/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,34,PT5,- [pages_ocr](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_ocr/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,35,PT5,- [pages_png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,36,PT5,- [layout_manifest.csv](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_layout/layout_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,37,PT5,- [pages_ordered_md](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_ordered_md/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,38,PT5,- [visual_evidence_manifest.csv](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/visual_evidence_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,39,PT5,- [semantic_findings_manifest.csv](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/semantic_findings_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,40,PT5,- [image_manifest.csv](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/image_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,41,PT5,- [conversion_loss.json](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/conversion_loss.json)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,63,PT5,- Page 1: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_001.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,64,PT5,- Page 2: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_002.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,65,PT5,- Page 3: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_003.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,66,PT5,- Page 4: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_004.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,67,PT5,- Page 5: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_005.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,68,PT5,- Page 6: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_006.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,69,PT5,- Page 7: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_007.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,70,PT5,- Page 8: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_008.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,71,PT5,- Page 9: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_009.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,72,PT5,- Page 10: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_010.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,73,PT5,- Page 11: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_011.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,74,PT5,- Page 12: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_012.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,75,PT5,- Page 13: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_013.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.md,76,PT5,- Page 14: [png](PT5-生物相容性-皮肤致敏1-SDWH-M201905262-2.assets/pages_png/page_014.png); text_chars=0; ocr=done; risk=no_nativ
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,3,PT5,source_file: PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,4,PT5,source_relative_path: 02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.pdf
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,6,PT5,assets_dir: PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,15,PT5,# PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,19,PT5,- source: `02_RnD_DHF/08 T1样机/12-生物相容性/同PT5生物相容性报告/PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.pdf`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,20,PT5,- assets: `PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/`
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,32,PT5,- [page_manifest.csv](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/page_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,33,PT5,- [pages_text](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_text/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,34,PT5,- [pages_ocr](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_ocr/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,35,PT5,- [pages_png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,36,PT5,- [layout_manifest.csv](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_layout/layout_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,37,PT5,- [pages_ordered_md](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_ordered_md/)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,38,PT5,- [visual_evidence_manifest.csv](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/visual_evidence_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,39,PT5,- [semantic_findings_manifest.csv](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/semantic_findings_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,40,PT5,- [image_manifest.csv](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/image_manifest.csv)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,41,PT5,- [conversion_loss.json](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/conversion_loss.json)
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,63,PT5,- Page 1: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_001.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,64,PT5,- Page 2: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_002.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,65,PT5,- Page 3: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_003.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,66,PT5,- Page 4: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_004.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,67,PT5,- Page 5: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_005.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,68,PT5,- Page 6: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_006.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,69,PT5,- Page 7: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_007.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,70,PT5,- Page 8: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_008.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,71,PT5,- Page 9: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_009.png); text_chars=0; ocr=done; risk=no_native
待确认(可能复用),异类型号残留,08 T1样机\12-生物相容性\同PT5生物相容性报告\PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.md,72,PT5,- Page 10: [png](PT5-生物相容性-皮肤致敏2-SDWH-M201905262-3.assets/pages_png/page_010.png); text_chars=0; ocr=done; risk=no_nativ
